,Top_1_name
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in,
%C3%85land,
%C3%89douard_Manet,france
%C3%89ire,ireland
%C3%93engus_I_of_the_Picts,
%E2%82%AC2_commemorative_coins,luxembourg
10th_century,india
11th_century,
12th_century,
13th_century,
14th_century,italy
15th_century,
15th_Marine_Expeditionary_Unit,united states
16th_century,
16_Cygni,
16_Cygni_Bb,
1755_Lisbon_earthquake,portugal
17th_century,japan
1896_Summer_Olympics,greece
18th_century,france
1928_Okeechobee_Hurricane,united states
1973_oil_crisis,
1980_eruption_of_Mount_St._Helens,united states
1997_Pacific_hurricane_season,mexico
19th_century,united kingdom
1st_century,
1st_century_BC,
1_Ceres,italy
2-6-0,
2-8-0,china
2003_Atlantic_hurricane_season,united states
2004_Atlantic_hurricane_season,
2004_Indian_Ocean_earthquake,indonesia
2005_Atlantic_hurricane_season,united states
2005_Hertfordshire_Oil_Storage_Terminal_fire,
2005_Kashmir_earthquake,pakistan
2005_Lake_Tanganyika_earthquake,
2005_Sumatra_earthquake,indonesia
20th_century,
21st_century,
2nd_century,
3rd_century,
3_Juno,
4-2-0,united states
4-4-0,united states
4-6-0,united states
47_Ursae_Majoris,
47_Ursae_Majoris_b,
47_Ursae_Majoris_c,
4th_century,
4_Vesta,
55_Cancri,
55_Cancri_b,
55_Cancri_c,
55_Cancri_d,
55_Cancri_e,
5th_century,
6-2-0,united states
6th_century,
7th_century,
8th_century,france
90377_Sedna,
9th_century,iraq
A._E._J._Collins,
Aachen,germany
Aardvark,
Aarhus,denmark
Abac%C3%A1,philippines
Abacus,china
Abadan,iran
Abbadid,spain
Abbasid,iraq
Abbas_I_of_Persia,iran
Abbey,
Abbey_Theatre,ireland
Abbot,united kingdom
Abel_Tasman,netherlands
Aberdeen,
Aberration_of_light,
Aberystwyth,
Abhidhamma_Pitaka,
Abidjan,
Abkhazia,georgia
Able_Archer_83,
ABO_blood_group_system,
Abraham_Goldfaden,
Abraham_Lincoln,
Absinthe,france
Absolute_zero,
Abstract_art,
Abuja,
Abu_Dhabi,united arab emirates
Acceleration,
Accountancy,
Accra,ghana
Acetic_acid,
Acetone,
Achilles,greece
Achilles_tendon,
Acid_rain,
Acorn_Computers,
Actinium,
Action_potential,
Actor,
Acts_of_Union_1707,united kingdom
Actuary,united kingdom
AC_DC,australia
Adam_Smith,
Addis_Ababa,ethiopia
Adelaide,australia
Adenosine_triphosphate,
Adi_Shankara,india
Adolf_Hitler,germany
Adriaen_van_der_Donck,netherlands
