,country
Snow_Goose,Canada
Dwight_D._Eisenhower,United States
Invasion,None
Scooby-Doo,United States
History_of_Central_Asia,Kazakhstan
Bill_Clinton,United States
Frederick_Douglass,United States
Cambrian_explosion,None
Radhanite,Iraq
Einsteinium,None
Formic_acid,None
Upsilon_Andromedae_b,None
Toraja,Indonesia
Motion_%28physics%29,None
S%C3%B8ren_Kierkegaard,Denmark
Friend_Directdebit,None
Bamako,Mali
Commodore_64,United States
Spherical_aberration,None
African_American_literature,United States
