,country
Cocos_%28Keeling%29_Islands,Cocos (Keeling) Islands
CPU_cache,None
Cathedral_of_Magdeburg,Germany
Anna_Karenina,Russia
Eurasian_Bullfinch,None
Oxbow_lake,United States
Common_Tern,None
Shenzhou_spacecraft,China
Geology_of_Dorset,United Kingdom
Perth%2C_Western_Australia,Australia
Formic_acid,None
Upsilon_Andromedae_b,None
Toraja,Indonesia
Motion_%28physics%29,None
S%C3%B8ren_Kierkegaard,Denmark
Friend_Directdebit,None
Bamako,Mali
Commodore_64,United States
Spherical_aberration,None
African_American_literature,None
