,country
Hadrian%27s_Wall,United Kingdom
Globe_Theatre,United Kingdom
List_of_monarchs_in_the_British_Isles,United Kingdom
Aleksandr_Vasilevsky,Russia
Pyongyang,North Korea
Ivory,
Beep_%28SWBLW%29,United States
Fermium,
Dwight_D._Eisenhower,United States
Invasion,
Scooby-Doo,United States
Bill_Clinton,United States
Frederick_Douglass,United States
Cambrian_explosion,
CPU_cache,
Cathedral_of_Magdeburg,Germany
Anna_Karenina,Russia
Eurasian_Bullfinch,
Common_Tern,
Shenzhou_spacecraft,China
Geology_of_Dorset,United Kingdom
Perth%2C_Western_Australia,Australia
Sumo,Japan
London_Underground,United Kingdom
Harry_Potter,United Kingdom
EMD_BL2,United States
Economic_inequality,
Formic_acid,
Upsilon_Andromedae_b,
Toraja,Indonesia
Motion_%28physics%29,
S%C3%B8ren_Kierkegaard,Denmark
Friend_Directdebit,
Bamako,Mali
Commodore_64,United States
Spherical_aberration,
